name,extinction_year,location,scientific_name
Darling-Downs-Hüpfmaus,1846,,Notomys mordax
Weißfußkaninchenratte,1845,Australien,Conilurus albipes
Mitra-Hufeisennase,1844,Bihar,Rhinolophus mitratus
Großohrhüpfmaus,1843,,Notomys macrotis
Großer Samoa-Flughund,1840,Samoa,Pteropus coxi
Singapur-Bartfledermaus,1840,Singapur,Kerivoula oreias
Breitwangen-Hüpfmaus,1800,,Notomys robustus
Blaubock,1800,,Hippotragus leucophaeus
Algerische Gazelle,1800,,Eudorcas rufina
Wisent,1790,Karpaten,Bison bonasus hungarorum
Sardischer Pfeifhase,1774,Korsika und Sardinien,Prolagus sardus
Jamaika-Affe,1769,Jamaika,Xenothrix mcgregori
Stellers Seekuh,1768,Beringinsel und Kupferinsel,Hydrodamalis gigas
Cayman-Karibikspitzmaus,1700,Grand Cayman und Cayman Brac,Nesophontes hemicingulus
Dodo,1662,,Raphus cucullatus
Riesenfossa,1658,Madagaskar,Cryptoprocta spelea
Auerochse,1627,Polen,Bos primigenius
Bermuda-Krabbenreiher,1623,,Nyctanassa carcinocatactes
Barbuda-Riesenreisratte,1600,Barbuda,Megalomys audreyae
Ascension-Nachtreiher,1555,,Nycticorax olsoni
Mohuy,1546,Hispaniola,Brotomys voratus
Veloz-Zaguti,1540,,Plagiodontia ipnaeum
Fernando-de-Noronha-Ratte,1503,,Noronhomys vespuccii
Puerto-Rico-Karibikspitzmaus,1500,Puerto Rico,Nesophontes edithae
Atalaya-Karibikspitzmaus,1500,Hispaniola,Nesophontes hypomicrus
Große Kuba-Karibikspitzmaus,1500,Kuba,Nesophontes major
Kleine Kuba-Karibikspitzmaus,1500,Kuba,Nesophontes micrus
Saint-Michel-Karibikspitzmaus,1500,Hispaniola,Nesophontes paramicrus
Haiti-Karibikspitzmaus,1500,Hispaniola,Nesophontes zamicrus
Marcano-Schlitzrüssler,1500,Hispaniola,Solenodon marcanoi
Oriente-Höhlenratte,1500,Kuba,Boromys offella
Torre-Höhlenratte,1500,Kuba,Boromys torrei
Puerto-Rico-Höhlenstachelratte,1500,Puerto Rico und Vieques,Heteropsomys insulans
Bühler-Timor-Ratte,1500,Timor,Coryphomys buehleri
Musser-Timor-Ratte,1500,Timor,Coryphomys musseri
Peru-Viscacha,1500,Cusco,Lagostomus crassus
Moa,1500,,Dinornithiformes
Karibische Spitzmäuse,1500,,Nesophontes
Nullarbor-Bürstenkänguru,1500,,Bettongia pusilla
Haastadler,1400,,Harpagornis moorei
