name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Bio Fruchtjoghurt Himbeere,Schwarzwaldmilch,150 g,Fruchtjoghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:fermented-dairy-desserts-with-fruits|en:yogurts|en:fruit-yogurts,en:organic|en:eu-organic|en:bioland|en:de-oko-003,en:milk,c,3,a,
Vegane Fleischwurst,FoodForFuture,175 g,,https://images.openfoodfacts.org/images/products/22765680/5.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:meat-alternatives|en:meat-analogues|en:vegetarian-sausages|de:vegane-fleischwurst|de:vegane-wurst,en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan|de:rein-pflanzlich,,d,4,a,
Kaffesahne,Milbona,200g,Sahne,https://images.openfoodfacts.org/images/products/405/648/922/3603/1.400.jpg,en:dairies|en:creams|de:kaffeesahne,,en:milk,d,4,b,
Knäckebrot Sesam Vollkorn,M classic,250unknown,Brot,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:crispbreads,,en:sesame-seeds,a,3,,
Würzige Curry-Sauce mit Minze,1001 delights,300ml,Soße,https://images.openfoodfacts.org/images/products/20817169/5.400.jpg,en:condiments|en:sauces|en:curry-sauces|en:groceries,,,d,,a,
H-Schlag-Sahne,Gutes Land,200g,Sahne,,en:dairies|en:creams|en:whipped-creams,en:german-agricultural-society|en:no-gmos|en:silver-medal-of-the-german-agricultural-society|de:ohne-gentechnik|en:2023-silver-medal-of-the-german-agricultural-society|en:nutriscore,en:milk,,4,b,
Sauerkirschkonfitüre,Landliebe,1pcs,Aufstrich,https://images.openfoodfacts.org/images/products/400/257/560/3088/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:spreads|en:plant-based-spreads|en:sweet-spreads|en:fruit-and-vegetable-preserves|en:jams|en:cherry-jams,en:no-flavors,,d,,e,
Pfirsichhälften gross,Sun Queen,480g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:canned-foods|en:canned-plant-based-foods,,,b,,,
Tofu Mandel-Nuss,enerBio,200g,Tofu,https://images.openfoodfacts.org/images/products/430/561/567/7972/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:legumes-and-their-products|en:meat-alternatives|en:tofu,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:at-bio-301|en:no-lactose|de:hergestellt-in-österreich,en:nuts|en:soybeans,a,3,,Österreich
Orangeat gewürfelt,Aldi,100 g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:snacks|en:sweet-snacks|en:confectioneries|en:fruits-based-foods|en:candied-fruits|en:candied-peel|en:succade|en:candied-orange-zest|de:backzutaten,,,e,4,,
"Cardamomkapseln, grün, ganz",Fuchs,45g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:condiments|en:spices,,,,1,,
Paprika-Gelee süß-scharf,Wolfram Berge,65 g,Aufstrich,https://images.openfoodfacts.org/images/products/400/318/524/5163/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:spreads|en:plant-based-spreads|en:sweet-spreads|en:fruit-and-vegetable-preserves|en:fruit-jellies,en:no-gluten|en:vegetarian|en:vegan|en:no-colorings,,d,4,b,
5 Minuten Terrine Nudeln in Spinat-Rahmsauce,Maggi,50g,,https://images.openfoodfacts.org/images/products/761/303/561/4635/1.400.jpg,en:dried-products|en:meals|en:dried-products-to-be-rehydrated,,en:gluten|en:milk,c,3,,
Gourmet-Suppe Fenchel,Lebe Gesund,"40 g (ergibt 0,5 l)",Suppe,https://images.openfoodfacts.org/images/products/425/085/931/0232/1.400.jpg,en:meals|en:soups,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:vegan|en:de-oko-037|en:no-flavour-enhancer|en:no-lactose|de:ohne-glutamatzusatz|de:ohne-hefeextrakt|de:ohne-künstliche-würze,en:celery,,3,,
Italienische Gemüsesuppe Minestrone,Lebe Gesund,"40 g (ergibt 0,5 l)",Suppe,https://images.openfoodfacts.org/images/products/425/085/931/0256/1.400.jpg,en:meals|en:soups,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:vegan|en:de-oko-037|en:made-in-germany|en:no-flavour-enhancer|en:no-lactose|de:ohne-glutamatzusatz|de:ohne-hefeextrakt|de:ohne-künstliche-würze,en:celery,,3,,
