# Categories from openfoodfacts-products.jsonl
# Total products: 373,676
# Products with categories: 161,016
# Unique categories: 17,072
#
# Format: count | category
#============================================================

   646 | en:pork
   645 | en:carbonated-waters
   644 | en:animal-fats
   641 | en:cereal-flakes
   625 | en:leaf-vegetables
   622 | fr:pates-a-tartiner
   619 | en:broths
   619 | en:whole-milks
   616 | en:frozen-pizzas
   609 | en:distilled-beverages
   609 | en:uncooked-pressed-cheeses
   607 | en:tunas
   606 | en:sugars
   601 | en:protein-bars
   600 | en:dairy-spreads
   593 | en:hard-liquors
   589 | en:fresh-plant-based-foods
   582 | en:milkfat
   573 | en:food-additives
   572 | en:wheat-flours
   571 | en:butters
   564 | en:spice-mix
   562 | en:pickled-cucumbers
   561 | en:tea-based-beverages
   560 | en:candy-chocolate-bars
   559 | en:chicken-eggs
   559 | en:aromatic-plants
   555 | en:berry-jams
   553 | en:crackers-appetizers
   552 | en:cheeses-of-the-netherlands
   550 | en:long-grain-rices
   546 | en:instant-beverages
   542 | en:virgin-olive-oils
   534 | en:cereal-bars
   531 | en:country-specific-beers
   528 | en:colas
   528 | en:cereal-based-drinks
   525 | en:cereals-with-fruits
   520 | en:filled-chocolates
   518 | en:pasta-sauces
   518 | en:chocolate-cereals
   515 | en:sliced-cheeses
   509 | en:fresh-vegetables
   508 | en:gingerbreads
   506 | en:soft-cheeses
   505 | en:energy-drinks
   501 | en:mushrooms-and-their-products
   499 | en:gouda
   497 | en:stretched-curd-cheeses
   495 | en:cut
   490 | en:common-beans
   484 | en:salads
   483 | en:soft-cheeses-with-bloomy-rind
   481 | en:plant-based-creams
   480 | en:herbs
   478 | en:spaghetti
   476 | en:extruded-cereals
   471 | en:shelled-nuts
   468 | en:christmas-foods-and-drinks
   465 | en:chocolate-spreads
   463 | en:fruit-nectars
   463 | en:dried-meals
   463 | en:peanuts
   460 | en:nut-butters
   460 | en:uht-milks
   460 | en:non-dairy-desserts
   455 | en:plant-based-creams-for-cooking
   453 | en:baby-foods
   452 | en:mozzarella
   448 | en:lemonade
   447 | en:mueslis-with-fruits
   444 | en:instant-noodles
   442 | en:susser-snack
   441 | en:beers-from-germany
   438 | en:pastry-helpers
   438 | en:mushrooms
   438 | en:fish-preparations
   435 | en:gherkins
   435 | en:apple-compotes
   435 | en:iced-teas
   432 | en:salts
   432 | en:oat-based-drinks
   431 | en:canned-fruits
   431 | en:tropical-fruits
   426 | en:orange-juices
   423 | en:sandwiches
   421 | en:bread-rolls
   416 | en:rolled-flakes
   412 | en:crustaceans
   412 | en:carbonated-natural-mineral-waters
   411 | en:special-breads
   407 | en:fruit-sodas
   406 | en:pflanzliche-lebensmittel
   402 | en:fermented-drinks
   400 | en:apple-juices
   399 | en:cocoa-and-chocolate-powders
   394 | en:diet-beverages
   394 | en:extruded-flakes
   393 | en:shrimps
   393 | en:hummus
   392 | en:prepared-vegetables
   392 | en:liqueurs
   390 | en:salad-dressings
   390 | en:smoked-fishes
   388 | en:sunflower-seeds-and-their-products
   387 | en:hot-sauces
   384 | en:beef-and-its-products
   377 | en:legume-butters
   377 | en:peanut-butters
   376 | en:tea-bags
   376 | en:aromatic-rices
   373 | en:meal-sauces
   373 | en:tea-leaves
   372 | en:hard-cheeses
   370 | en:coconut-milks-and-creams
   370 | en:smoothies
   369 | en:bakery-products
   367 | en:mayonnaises
   365 | en:indica-rices
   362 | en:capsules
   359 | en:herring
   359 | en:coffee-drinks
   358 | en:mueslis-with-chocolate
   354 | en:eaux-de-vie
   351 | en:lentils
   349 | en:hazelnut-spreads
   349 | en:fermented-milk-drinks
   349 | en:non-dairy-fermented-foods
   347 | en:flavoured-syrups
   347 | en:canned-tunas
   346 | en:chicken-preparations
   343 | en:coffee-capsules
   341 | en:fresh-milks
   339 | en:non-dairy-yogurts
   334 | en:ice-cream-bars
   333 | en:rolled-oats
   333 | fr:charcuteries-cuites
   333 | en:flatbreads
   333 | en:waffles
   332 | en:citrus-jams
   331 | en:puffed-cereal-cakes
   330 | en:sliced-breads
   329 | en:fromages-blancs-petit-suisses-and-skyr
   328 | en:canned-common-beans
