name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Waldfrucht Fruchtaufstrich,Dennree,340 g,Beerenmarmelade,https://images.openfoodfacts.org/images/products/402/185/140/3358/5.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:spreads|en:plant-based-spreads|en:sweet-spreads|en:fruit-and-vegetable-preserves|en:jams|en:berry-jams|en:citrus-jams|en:marmalades,en:organic|en:eu-organic|en:de-oko-001,,,4,,
Sandwich-Gurken in Scheiben süß-sauer,Trader Joe's,530 g / 290 g,Gewürzgurken,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:vegetable-based-foods-and-beverages|en:canned-foods|en:vegetables-based-foods|en:canned-plant-based-foods|en:pickles|en:vegetables|en:canned-vegetables|en:cucumbers|en:plant-based-pickles|en:pickled-vegetables|en:small-cucumbers|en:gherkins|en:pickled-cucumbers,en:nutriscore,,b,,a,
Gemüse-Mix - Kaisergemüse,Beste Ernte,300 g,Gemüse,https://images.openfoodfacts.org/images/products/431/626/852/8283/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:vegetables-based-foods|en:frozen-foods|en:vegetables|en:frozen-plant-based-foods|en:frozen-vegetables|en:frozen-plant-based-foods-mixes|en:mixed-vegetables|en:frozen-mixed-vegetables|de:kaisergemüse,en:vegetarian|en:european-vegetarian-union|en:european-vegetarian-union-vegetarian|en:fsc|en:fsc-mix,,a,,b,
Ziegentaler,REWE,100 g,Käse,https://images.openfoodfacts.org/images/products/433/725/661/8052/4.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:goat-cheeses,en:nutriscore|en:nutriscore-grade-d,en:milk,d,4,,
Butter,Pilos,250g,Aufstrich,,en:dairies|en:fats|en:spreads|en:spreadable-fats|en:animal-fats|en:dairy-spreads|en:milkfat|en:butters,en:made-in-germany,en:milk,e,,e,
Sofa Krimi,Lorenz,125g,Nüsse,https://images.openfoodfacts.org/images/products/401/807/780/0719/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:snacks|en:salty-snacks|en:nuts-and-their-products|en:nuts|en:salted-nuts,,en:nuts|en:peanuts,d,3,,
Aprikosen entsteint,CLASEN BIO,200g,,https://images.openfoodfacts.org/images/products/425/003/894/0144/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:dried-products|en:fruits-based-foods|en:dried-plant-based-foods|en:dried-fruits|en:dried-apricots,en:organic|en:eu-organic|de:eg-öko-verordnung|en:de-oko-001,,d,,b,
Vaniglia,Gelati,1000 g,Eis,https://images.openfoodfacts.org/images/products/803/351/039/9014/2.400.jpg,en:desserts|en:frozen-foods|en:frozen-desserts|en:ice-creams-and-sorbets|en:ice-creams,,en:eggs|en:milk,e,4,b,
Rewe Bio Basmatireis weiß,REWE Bio,500g,Reis,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:seeds|en:cereals-and-their-products|en:cereal-grains|en:rices|en:aromatic-rices|en:indica-rices|en:long-grain-rices|en:basmati-rices,en:organic|en:naturland|en:nutriscore|en:nutriscore-grade-a,,b,,,
Helle Sojasoße,Bamboo Garden,150ml,Soße,https://images.openfoodfacts.org/images/products/402/390/054/6702/1.400.jpg,en:condiments|en:sauces|en:soy-sauces,en:vegetarian|en:vegan|en:green-dot,en:gluten|en:soybeans,e,3,a,
Leibniz Minis glutenfrei,Leibniz,100g,,https://images.openfoodfacts.org/images/products/401/710/037/7815/10.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:susser-snack,en:no-gluten|en:made-in-germany|en:no-lactose,en:eggs|en:milk,e,4,,
Kürbis Risotto,DmBio,250 g,,https://images.openfoodfacts.org/images/products/406/644/720/8627/3.400.jpg,en:meals|en:rice-dishes|en:risottos,en:organic|en:vegetarian|en:eu-organic|en:vegan|en:european-vegetarian-union|en:it-bio-006|en:made-in-italy,,d,,,
Feines Schaumgebäck,Busch,100 g,,https://images.openfoodfacts.org/images/products/400/738/400/0806/4.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:pastries|en:meringues,,en:eggs|en:milk,e,4,c,
Griechisches natives Olivenöl,,,Olivenöl,https://images.openfoodfacts.org/images/products/431/626/846/1900/2.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fats|en:vegetable-fats|en:olive-tree-products|en:vegetable-oils|en:olive-oils|en:extra-virgin-olive-oils|en:virgin-olive-oils,en:pgi,,b,2,e,
Cheddar kräftig,Cathedral City,200 g,Käse,https://images.openfoodfacts.org/images/products/500/029/513/4928/1.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:cow-cheeses|en:cheeses-from-the-united-kingdom|en:cheeses-from-england|en:cheddar-cheese|en:mature-cheddar,,en:milk,d,3,c,
Feine Bitter Orange Schokolade,Alnatura,100 g,Zartbitterschokolade,,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:chocolates|en:dark-chocolates|en:flavoured-chocolates|en:flavoured-dark-chocolates|de:schokotafeln-dunkel,en:vegetarian|en:organic|en:eu-organic|en:non-eu-agriculture|en:vegan|de:bio-7-initiative|en:de-oko-013|en:eu-agriculture|en:eu-non-eu-agriculture|en:the-vegan-society|de:vegan-society-vegan-logo,,a,3,d,
Bio Vegi Fresh Kräuter,Green Heart,,Aufstrich,https://images.openfoodfacts.org/images/products/901/135/312/3453/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:spreads|en:plant-based-spreads|en:salted-spreads|en:cheese-spreads-substitutes,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:vegan|en:at-bio-301|en:european-vegetarian-union|en:european-vegetarian-union-vegan,en:soybeans,d,4,a,
Zitronengras gemahlen,Vitasia,30 g,,https://images.openfoodfacts.org/images/products/20109431/2.400.jpg,en:condiments|en:groceries,,,,1,,
Burger Box,Block House,,,https://images.openfoodfacts.org/images/products/400/928/615/4205/1.400.jpg,en:sandwiches|en:hamburgers,,,d,,,
Haferflocken Kernige,Brüggen,500 g,,https://images.openfoodfacts.org/images/products/400/871/301/1289/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:flakes|en:cereal-flakes|en:extruded-flakes|en:rolled-flakes|en:rolled-oats,,,,,b,
Dm Kaiserschmarrn Mischung,DmBio,160g,,https://images.openfoodfacts.org/images/products/406/644/742/2948/3.400.jpg,en:meals|en:backmischung,en:no-gluten|en:vegetarian|en:crossed-grain-trademark|en:vegan|en:dzg-gluten-free,en:gluten|en:lupin|en:nuts,e,4,,
Mini-Windbeutel Glutenfrei,Rewe,,,https://images.openfoodfacts.org/images/products/438/886/024/1334/1.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:pastries|en:cream-puff,en:no-gluten,,d,,c,
Extra Wildbeeren Gelee,Schwartau,340 g,Aufstrich,https://images.openfoodfacts.org/images/products/401/180/080/1915/9.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:spreads|en:plant-based-spreads|en:sweet-spreads|en:fruit-and-vegetable-preserves|en:fruit-jellies,en:vegetarian|en:vegan,,d,4,b,
Mini Geflügel Rostbratwürstchen,Dulano,350 g,Wurst,https://images.openfoodfacts.org/images/products/405/648/928/9548/1.400.jpg,en:meats-and-their-products|en:meats|en:prepared-meats|en:sausages|de:bratwürste,,,d,4,,
Kartoffelsalat Westfälischer Art,,400g,,https://images.openfoodfacts.org/images/products/871/050/608/4078/1.400.jpg,en:meals|en:prepared-salads|en:potato-dishes|en:potato-salads,,,c,3,d,
Erdbeere Konfitüre Extra,Tamara,450 g,Beerenmarmelade,https://images.openfoodfacts.org/images/products/29029006/2.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:breakfasts|en:spreads|en:fruits-based-foods|en:plant-based-spreads|en:sweet-spreads|en:fruit-and-vegetable-preserves|en:jams|en:berry-jams|en:strawberry-jams,,,d,4,b,
Waffel Hörnchen Erdbeer-Vanille,Penny,456 g,Eis,,en:desserts|en:frozen-foods|en:frozen-desserts|en:ice-creams-and-sorbets|en:ice-creams|en:ice-cream-cones|en:strawberry-vanilla-ice-cream-cones,en:nutriscore|en:nutriscore-grade-d|en:rainforest-alliance,en:gluten|en:milk,d,4,a,
Salami Spitzenqualität,,80g,Wurst,https://images.openfoodfacts.org/images/products/438/886/000/8555/2.400.jpg,en:meats-and-their-products|en:meats|en:prepared-meats|en:cured-sausages|en:salami,en:no-colorings|en:no-flavour-enhancer,en:mustard,e,4,e,
Thunfischfilets in eigenen Saft,Dreimaster,195g,Thunfisch,,en:seafood|en:fishes-and-their-products|en:canned-foods|en:fishes|en:fatty-fishes|en:canned-fishes|en:tunas|en:canned-tunas|en:fish-fillets|en:tuna-fillets|en:tunas-in-brine,en:sustainable|en:sustainable-fishery|en:nutriscore|en:nutriscore-grade-a|en:sustainable-seafood-msc|de:msc-c-53488,en:fish,a,3,d,Philippinen
Veggie cevapcici,,,,https://images.openfoodfacts.org/images/products/425/134/910/4218/1.400.jpg,en:meat-alternatives|en:meat-analogues|en:vegetarian-sausages|en:meat-analogues-from-pea-proteins,en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan,en:gluten,d,4,b,
Thunfisch Filets in eigenem Saft,Almare,150g,Thunfisch,,en:seafood|en:fishes-and-their-products|en:canned-foods|en:fishes|en:fatty-fishes|en:canned-fishes|en:tunas|en:canned-tunas|en:tunas-in-brine,en:sustainable|en:sustainable-fishery|en:sustainable-seafood-msc,,a,3,e,
Mandel/ Almond,joya,200ml,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:nuts-and-their-products,,,a,,,
Makrelenfilets. Geräuchert. Fisch,Lidl,1pcs,Fisch,https://images.openfoodfacts.org/images/products/405/648/935/1672/3.400.jpg,en:seafood|en:fishes-and-their-products|en:fishes|en:fatty-fishes|en:fish-fillets|en:mackerels|en:smoked-fishes|en:mackerel-fillets,,,d,,,
Schmelzkäse Rahm,Alma,150 g,Käse,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:spreads|en:salted-spreads|en:cheese-spreads|en:schmelzkase,en:green-dot,en:milk,e,4,c,
Feine Quark-Creme - Kirsche,Edeka,200g,,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts,,en:milk,c,4,,
Körner Müsli,HistaFood,425g,,https://images.openfoodfacts.org/images/products/426/237/699/0026/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals,,,a,4,e,
Bio-Apfel-Aprikosenmark,Norma Bio Sonne,360g,,https://images.openfoodfacts.org/images/products/20170899/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:desserts|en:fruits-based-foods|en:compotes|en:apple-compotes,en:organic|en:eu-organic|de:apfelkompott|de:kompott|de:lebensmittel|de:nachspeisen|de:obst-basierte-lebensmittel|de:obst-und-gemüse-basierte-lebensmittel|de:pflanzliche-lebensmittel|de:pflanzliche-lebensmittel-und-getränke,,a,1,,
Kräuter Schmelzkäse,Wanderer,200g,Käse,https://images.openfoodfacts.org/images/products/404/780/001/1177/4.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:processed-cheese,,en:milk,e,4,d,
Aufstrich Hummus Chili,bio Zentrale,125 g,Aufstrich,https://images.openfoodfacts.org/images/products/400/500/910/2713/8.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:condiments|en:spreads|en:plant-based-spreads|en:salted-spreads|en:sauces|en:dips|en:hummus,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:non-eu-agriculture|en:vegan|de:eg-öko-verordnung|en:de-oko-005|en:eu-agriculture|en:eu-non-eu-agriculture|en:no-lactose,en:sesame-seeds|en:soybeans|en:sesame-seeds,c,3,,
Bio Rinderbrühe,BIOGRENO,140g,,,en:broths|en:beef-broth,en:organic|en:vegetarian|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:european-vegetarian-union|en:european-vegetarian-union-vegan,,c,,,
Nussmus Cashew,Alnatura,250 g,Aufstrich,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:spreads|en:nuts-and-their-products|en:plant-based-spreads|en:oilseed-purees|en:purees|en:nut-butters|en:cashew-butters,en:vegetarian|en:organic|en:eu-organic|en:vegan|de:bio-7-initiative|de:eg-öko-verordnung|en:de-oko-006|en:nl-bio-01|en:the-vegan-society|de:bio-label-german|de:vegan-society-vegan-logo,en:nuts,a,1,,
La Pinsa Pikante Salami,Deluxe,400 g,,,en:frozen-foods|en:meals|en:pizzas-pies-and-quiches|en:frozen-pizzas-and-pies|en:filled-pinsa,en:fsc|en:fsc-mix|en:nutriscore|en:nutriscore-grade-c,en:gluten|en:milk|en:pork,c,4,,
Bufala,Margherita,400 g,Pizza,https://images.openfoodfacts.org/images/products/405/648/936/9059/1.400.jpg,en:meals|en:pizzas-pies-and-quiches|en:pizzas|en:vegetarian-pizzas|en:cheese-pizzas,,en:gluten|en:milk|en:milk,c,4,b,
Swiss Porridge Nuss-Frucht,dennree,400 g,,https://images.openfoodfacts.org/images/products/402/185/144/1039/6.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:porridge,en:organic|en:eu-organic|en:non-eu-agriculture|de:eg-öko-verordnung|en:ch-bio-006|en:eu-agriculture|en:eu-non-eu-agriculture|en:made-in-swiss,en:gluten|de:vollkornmehl,c,1,c,
Fruchtmix Ananas & Kiwi,Lidl,6 Portionen,,https://images.openfoodfacts.org/images/products/405/648/941/7392/1.400.jpg,en:desserts|en:frozen-foods|en:frozen-desserts|en:ice-creams-and-sorbets|en:ice-pops,,,c,,b,
Kartoffel Püree Das Pure,Pfanni,120 g,,https://images.openfoodfacts.org/images/products/871/410/088/3303/5.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:dried-products|en:dried-products-to-be-rehydrated|en:purees|en:potato-preparations|en:mashed-potatoes|en:instant-mashed-potatoes,en:no-gluten|en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan,,,4,a,Kartoffeln aus Deutschland
Kichererbsen Falafel,Dr. Kargs,200 g,Brot,https://images.openfoodfacts.org/images/products/403/363/400/0784/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:crispbreads,en:vegetarian|en:vegan,en:gluten|en:sesame-seeds,e,3,,
Gemüsebrühe No3 - Die Pikante,Heimerl's,450 g,,https://images.openfoodfacts.org/images/products/427/000/040/4870/2.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:broths|en:vegetable-broths|en:groceries,,en:celery,d,3,,
Vegane weiße mit Kokos und Waffel-Crisps,Bio Company,,Weiße Schokolade,https://images.openfoodfacts.org/images/products/426/004/231/4138/1.400.jpg,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:chocolates|en:white-chocolates,en:vegetarian|en:vegan,,e,,e,
Tomatensauce Klassik ohne Knoblauch,DmBio,350ml,Tomatensoße,https://images.openfoodfacts.org/images/products/405/817/232/2099/1.400.jpg,en:condiments|en:sauces|en:tomato-sauces|en:groceries,en:organic|en:vegetarian|en:vegan,,c,,a,
Heumilch Käse milder Gouda,Gut Bio,1pcs,Käse,https://images.openfoodfacts.org/images/products/406/145/964/8478/1.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:cow-cheeses|en:uncooked-pressed-cheeses|en:gouda,en:organic|en:vegetarian|en:eu-organic|en:at-bio-902|en:european-vegetarian-union|en:european-vegetarian-union-vegetarian|en:naturland|en:nutriscore|en:nutriscore-grade-d,,,,b,
Chinesische Reisnudeln,Asia,250g,Nudeln,https://images.openfoodfacts.org/images/products/406/145/805/4133/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:pastas|en:rice-pasta,,,,,,
Hammer Mühle Hafer Basis Brei,Hammermühle,375g,,https://images.openfoodfacts.org/images/products/401/553/700/0351/1.400.jpg,en:breakfasts|en:specific-products|en:products-for-specific-diets|en:products-without-gluten,en:no-gluten,en:nuts,a,1,,
Kokosnussmilch - Rotes Curry,Aldi,400ml,,https://images.openfoodfacts.org/images/products/406/145/828/3748/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:plant-based-creams|en:plant-based-creams-for-cooking|en:coconut-milks-and-creams|en:coconut-milk-with-red-curry,en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan,,,,a,
Caramel au beurre salé,Carrefour,210g,Aufstrich,,en:snacks|en:breakfasts|en:spreads|en:sweet-snacks|en:confectioneries|en:sweet-spreads|fr:pates-a-tartiner|en:caramel-spreads|en:caramels|en:salted-butter-caramels,en:green-dot|en:pgi|en:with-guerande-salt|xx:ce,en:milk,e,3,,
Hafer Vollkorn Müsli mit Früchten,Kölln,1700,Müsli,https://images.openfoodfacts.org/images/products/400/054/002/1479/6.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:cereals-with-fruits|en:mueslis|en:mueslis-with-fruits,,en:gluten,b,4,b,
Champignons in Scheiben,Freshona,115 g,,https://images.openfoodfacts.org/images/products/405/648/902/5269/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:canned-foods|en:vegetables-based-foods|en:canned-plant-based-foods|en:frozen-foods|en:frozen-plant-based-foods|en:mushrooms-and-their-products|en:mushrooms|en:frozen-mushrooms|en:canned-mushrooms|en:champignon-mushrooms|en:canned-champignon-mushrooms|en:frozen-champignon-mushrooms|en:frozen-sliced-champignon-mushrooms|en:sliced-champignon-mushrooms,en:nutriscore|en:nutriscore-grade-a,,a,1,,
Premium-Joghurt - Mango,Aldi,200 g,Fruchtjoghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:fermented-dairy-desserts-with-fruits|en:yogurts|en:fruit-yogurts|en:mango-yogurts,,en:milk,c,4,b,
Gnocchi mit Basilikum,Anna's Best,500g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:gnocchi|en:potato-gnocchi,en:nutriscore|en:nutriscore-grade-b,,c,,a,
Mini Ochsenaugen,Schulte Feingebäck,125 g,Kekse,,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits,,en:eggs|en:gluten|en:milk|en:nuts|en:soybeans,e,4,d,
Chorkonzert Crossie,Jeden Tag,1pcs,Kekse,,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits,,,,,c,
Gurken Quark,Milram,185 g,Quark,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:quarks|en:herb-quarks,,en:milk,c,4,,
Ja Bratwurst,ja!,4pcs,Wurst,,en:meats-and-their-products|en:meats|en:prepared-meats|en:sausages|en:raw-sausage-meat-with-pure-pork,en:nutriscore|en:nutriscore-grade-d|en:qs-certification-mark,,d,,,
E/Blätterteig,EDEKA,450g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:pie-dough|en:puff-pastry-sheets|en:blatterteig-platten|en:pflanzliche-lebensmittel-und-getranke,en:german-agricultural-society|en:gold-medal-of-the-german-agricultural-society|en:2015-gold-medal-of-the-german-agricultural-society|en:fsc,,d,4,c,
